Alias	Title	BioSample Used	Library Name	Library Source	Library Selection	Library Strategy	Library Construction Protocol	Instrument	Spot Type	Nominal Length	Nominal Stev	Spot Length
			200727A	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			200727B	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			200727C-1	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			200727C-2	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			200731E	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			200731F	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			200818A	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			200721A	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			200907C	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			201007A-2	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			210414Bc	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			210414Cc	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
			210604Bc	METAGENOMIC	PCR	AMPLICON		Illumina MiSeq	paired (FR)	440		602
